"","num_bureau","num_bureau_vote","inscrit","votant","bul_nul","suffrage","bby","yaw","wallu","bunt","aar","bgg","mpr","naw","som_vote","@_id","@_uuid","@_submission_time","@_index","@_parent_table_name","index","@_tags","@_notes","@_version","@_duration","@_submitted_by","@_xform_id","region","departement","centre_vote","reportaire","bureau_reel"
"1","1",3,459,102,0,102,21,73,4,0,0,0,2,2,"102",NA,"",NA,1,"data",1,"","","","","","","15","1000","Bordeaux","Falilou Ndiaye","5"
"2","2",4,458,118,0,118,17,96,2,0,0,2,1,0,"118",NA,"",NA,2,"data",1,"","","","","","","15","1000","Bordeaux","Falilou Ndiaye","5"
"3","3",5,459,114,0,114,14,88,4,0,2,3,1,2,"114",NA,"",NA,3,"data",1,"","","","","","","15","1000","Bordeaux","Falilou Ndiaye","5"
"4","4",2,460,109,0,109,18,86,3,0,0,1,1,0,"109",NA,"",NA,4,"data",1,"","","","","","","15","1000","Bordeaux","Falilou Ndiaye","5"
"5","5",1,460,119,0,119,21,87,3,1,1,0,4,2,"119",NA,"",NA,5,"data",1,"","","","","","","15","1000","Bordeaux","Falilou Ndiaye","5"
"6","1",NA,541,236,1,235,49,168,5,0,1,0,9,3,"235",NA,"",NA,6,"data",2,"","","","","","","15","1000","Bruxelles","Falilou Ndiaye","1"
"7","1",1,352,82,0,82,14,60,6,0,1,0,1,0,"82",NA,"",NA,7,"data",3,"","","","","","","15","1000","Marrakech","Falilou Ndiaye","2"
"8","2",2,352,66,0,66,14,44,4,0,0,0,3,1,"66",NA,"",NA,8,"data",3,"","","","","","","15","1000","Marrakech","Falilou Ndiaye","2"
"9","1",NA,548,93,0,93,15,73,2,0,0,0,3,0,"93",NA,"",NA,9,"data",4,"","","","","","","15","1000","Casablanca","Falilou Ndiaye","1"
"10","1",5,595,241,0,241,44,4,181,1,1,0,6,5,"242",NA,"",NA,10,"data",5,"","","","","","","03","033","Ecole Mame Cheikh Anta","Falilou Ndiaye","1"
"11","1",86,507,216,0,216,22,8,174,0,2,0,10,0,"216",NA,"",NA,11,"data",6,"","","","","","","03","033","Darou Marnane","Falilou Ndiaye","1"
"12","1",1,521,161,0,161,22,18,117,0,0,0,3,1,"161",NA,"",NA,12,"data",7,"","","","","","","15","1000","Bilbao","Badara Tamba","1"
"13","1",6,344,139,0,139,52,77,3,0,1,1,4,1,"139",NA,"",NA,13,"data",8,"","","","","","","07","073","Ecole 6","Falilou Ndiaye","1"
"14","1",2,365,195,0,195,26,166,2,0,0,1,0,0,"195",NA,"",NA,14,"data",9,"","","","","","","02","023","Boucotte Sud Nema","Badara Tamba","1"
"15","1",12,532,239,0,239,41,190,2,2,1,0,1,1,"238",NA,"",NA,15,"data",10,"","","","","","","02","023","Landing Tamba","Landing Tamba","1"
"16","1",8,596,264,0,264,64,9,180,1,1,0,6,3,"264",NA,"",NA,16,"data",11,"","","","","","","03","033","MAME CHEIKH ANTA","BADARA TAMBA","1"
"17","1",3,585,257,0,257,70,165,11,0,1,2,5,3,"257",NA,"",NA,17,"data",12,"","","","","","","01","011","Ouakam","Falilou Ndiaye","1"
"18","1",58,507,230,0,230,37,7,179,0,0,1,6,0,"230",NA,"",NA,18,"data",13,"","","","","","","03","033","Darou Marnane","Landing Cisse","1"
"19","1",4,584,247,0,247,81,144,13,0,5,0,4,0,"247",NA,"",NA,19,"data",14,"","","","","","","01","011","584","ECOLE OUAKAM","1"
"20","1",3,578,262,0,262,59,10,184,0,1,2,6,0,"262",NA,"",NA,20,"data",15,"","","","","","","03","033","Ecole Cheikh Ibra Fall","Falilou Ndiaye","1"
"21","1",3,517,200,0,200,71,126,1,1,0,0,0,0,"199",NA,"",NA,21,"data",16,"","","","","","","02","023","École mission","Ibrahima gaye","1"
"22","1",8,582,284,2,282,48,8,200,4,2,3,12,5,"282",NA,"",NA,22,"data",17,"","","","","","","03","033","Ecole Cheikh Ibra Fall","Falilou Ndiaye","1"
"23","1",NA,400,213,0,213,173,24,3,1,2,4,2,4,"213",NA,"",NA,23,"data",18,"","","","","","","06","061","LATMINGUE","BADARA TAMBA","1"
"24","1",9,300,180,0,180,73,78,2,1,14,4,4,4,"180",NA,"",NA,24,"data",19,"","","","","","","07","072","Malick K DIAW","Ibrahima gaye","1"
"25","1",3,585,263,0,263,107,105,19,2,22,1,3,4,"263",NA,"",NA,25,"data",20,"","","","","","","07","072","MODA KANE","BADARA TAMBA","1"
"26","1",17,581,211,2,210,62,114,9,1,12,1,11,0,"210",NA,"",NA,26,"data",21,"","","","","","","01","015","Ecole Privé Sanka","Landing cisse","1"
"27","1",3,565,295,3,295,95,38,150,0,5,0,6,1,"295",NA,"",NA,27,"data",22,"","","","","","","01","012","Cité Ndéye Marie","Faliliou Ndiaye","1"
"28","1",4,582,269,0,269,106,128,20,0,4,1,9,1,"269",NA,"",NA,28,"data",23,"","","","","","","01","014","CES EST","Falilou Ndiaye","1"
"29","1",5,568,183,0,183,56,41,74,0,3,0,8,1,"183",NA,"",NA,29,"data",24,"","","","","","","01","012","Ecole elementaire Cité Ndèye Marie","Falilou Ndiaye","1"
"30","1",4,443,200,0,200,89,103,2,0,3,1,1,1,"200",NA,"",NA,30,"data",25,"","","","","","","14","141","EL HADJI DEMBOCOLY","Landing cisse","1"
"31","1",5,582,248,0,248,73,150,10,0,5,3,6,1,"248",NA,"",NA,31,"data",26,"","","","","","","01","011","Ecole Ouakam Camp","Falilou Ndiaye","1"
"32","1",17,581,211,1,210,62,114,9,1,12,1,11,0,"210",NA,"",NA,32,"data",27,"","","","","","","01","015","Falilou Ndiaye","https://enketo.ona.io/x/L0gDiN4A","1"
"33","1",6,598,300,0,300,106,125,21,2,35,0,9,2,"300",NA,"",NA,33,"data",28,"","","","","","","01","013","Ecole Guaye Mauride","Landing cisse","1"
"34","1",4,582,269,0,269,106,128,20,0,4,1,9,1,"269",NA,"",NA,34,"data",29,"","","","","","","01","014","CES EST","BADARA TAMBA","1"
